# ra dec dm_bonsai
93.702524 64.758182 641.810432
197.716285 26.421681 620.692116
199.402427 55.576962 78.741579
89.928581 56.495399 223.354346
268.840585 85.426980 796.222829
322.595064 69.300325 550.504048
228.564020 75.622060 699.167944
101.473639 34.864397 310.353257
189.045092 77.979466 128.114702
19.330090 80.779710 719.969330
238.258945 74.018801 197.128241
65.877272 70.289853 89.756410
235.751752 43.121032 977.318201
286.581582 81.222901 305.311778
141.484703 14.285506 339.844532
185.745047 56.422479 3006.379691
328.948195 89.224706 1391.961395
320.870205 29.464917 784.876192
4.485409 19.173804 620.080262
41.717072 77.071651 546.811616
167.876104 47.087713 352.014881
188.217098 74.194462 157.144071
123.630600 56.756960 358.461890
352.770030 88.212190 626.661783
65.537675 73.632603 101.894007
99.549162 84.617249 164.811139
22.348288 78.816250 787.289911
280.546687 17.907522 198.693583
225.234616 25.015704 154.478596
348.972170 80.326219 216.621906
29.503126 65.716754 150.832150
107.147514 45.078391 2177.444050
238.796941 77.526590 813.371697
301.271632 64.956375 1374.055550
5.338174 5.943547 527.267001
65.696754 73.645044 101.110657
78.943782 28.286153 394.675682
191.080541 63.515561 429.743128
28.924681 5.045472 358.963440
341.980672 69.638917 414.388653
327.446629 71.913528 119.454257
169.078437 48.747327 298.621821
239.136832 22.846115 144.705443
35.498231 37.523436 1046.764154
74.598824 77.994387 165.778935
145.516769 20.993831 628.232472
312.947961 30.845834 93.738962
206.241540 64.146671 681.478141
262.864551 38.412781 261.247301
307.142715 69.025236 264.483518
97.175555 52.045536 192.147986
146.114781 34.100785 967.067741
45.941382 63.328840 1127.871756
78.675851 14.657842 784.651974
117.892590 41.594632 692.559262
216.157133 -2.932585 346.924540
175.032274 83.582584 521.504117
237.424516 78.495599 263.047244
256.104521 68.280066 1238.527554
336.638565 71.907602 180.432511
17.017268 51.551217 1008.072038
67.058401 37.566054 265.278616
32.082162 65.738110 156.431660
37.749296 68.180747 564.972710
244.591361 66.274863 462.528446
322.254548 78.830317 1039.723560
142.564470 83.813079 478.406798
169.037918 89.341014 1357.941326
179.226961 17.110749 697.602170
179.213882 36.525084 493.905445
221.247319 27.131400 264.045235
105.687770 64.243655 530.532457
132.016379 -4.236688 663.798648
70.998768 73.656510 105.922932
309.933289 3.992795 595.805675
163.420619 73.740030 63.019598
164.215471 73.739504 63.045140
81.876163 16.072343 165.403344
135.768752 8.888971 109.701970
21.254505 53.874969 1327.110919
87.305591 15.629707 258.440357
25.831971 65.720501 149.576003
29.236563 65.731124 151.077765
77.127774 17.442733 475.035310
142.936506 56.397019 941.044330
36.154824 4.522834 318.306218
